Learning Rate: 0.001
Batch Size: 64
Number of Epochs: 500
Model Name: my_cool_model
Data Path: /home/mkhokhlo/projects/kotelnikov/data_lstm_august24_PDET_left_right.csv
Feature_names: ['ampl', 'BandwidthesHz', 'Bottom', 'flash_periods', 'flash_seconds', 'frac_band', 'freq', 'left', 'phase', 'Psi0', 'right', 'timeSignal', 'top', 'time_sincelast']
Starting to train for the first pair 0_1, results are saved /home/mkhokhlo/projects/kotelnikov/scripts/scripts/results/0_1
verification Left,  ampl
verification Left,  BandwidthesHz
(21600, 2)
(21600,)
Epoch 285, Loss: 0.3867, Accuracy: 0.8110
Epoch 286, Loss: 0.3869, Accuracy: 0.8110
Epoch 287, Loss: 0.3873, Accuracy: 0.8104
Epoch 288, Loss: 0.3859, Accuracy: 0.8100
Epoch 289, Loss: 0.3867, Accuracy: 0.8103
Epoch 290, Loss: 0.3865, Accuracy: 0.8098
Epoch 291, Loss: 0.3869, Accuracy: 0.8099
Epoch 292, Loss: 0.3865, Accuracy: 0.8097
Epoch 293, Loss: 0.3867, Accuracy: 0.8108
Epoch 294, Loss: 0.3870, Accuracy: 0.8100
Epoch 295, Loss: 0.3863, Accuracy: 0.8109
Epoch 296, Loss: 0.3904, Accuracy: 0.8099
Epoch 297, Loss: 0.3905, Accuracy: 0.8105
Epoch 298, Loss: 0.3865, Accuracy: 0.8114
Epoch 299, Loss: 0.3872, Accuracy: 0.8097
Epoch 300, Loss: 0.3868, Accuracy: 0.8105
Epoch 301, Loss: 0.3869, Accuracy: 0.8097
Epoch 302, Loss: 0.3867, Accuracy: 0.8106
Epoch 303, Loss: 0.3869, Accuracy: 0.8104
Epoch 304, Loss: 0.3866, Accuracy: 0.8107
Epoch 305, Loss: 0.3860, Accuracy: 0.8108
Epoch 306, Loss: 0.3864, Accuracy: 0.8111
Epoch 307, Loss: 0.3864, Accuracy: 0.8099
Epoch 308, Loss: 0.3863, Accuracy: 0.8108
Epoch 309, Loss: 0.3866, Accuracy: 0.8098
Epoch 310, Loss: 0.3865, Accuracy: 0.8104
Epoch 311, Loss: 0.3865, Accuracy: 0.8114
Epoch 312, Loss: 0.3866, Accuracy: 0.8099
Epoch 313, Loss: 0.3867, Accuracy: 0.8108
Epoch 314, Loss: 0.3863, Accuracy: 0.8109
Epoch 315, Loss: 0.3866, Accuracy: 0.8102
Epoch 316, Loss: 0.3863, Accuracy: 0.8110
Epoch 317, Loss: 0.3867, Accuracy: 0.8106
Epoch 318, Loss: 0.3826, Accuracy: 0.8109
Epoch 319, Loss: 0.3867, Accuracy: 0.8099
Epoch 320, Loss: 0.3867, Accuracy: 0.8105
Epoch 321, Loss: 0.3870, Accuracy: 0.8106
Epoch 322, Loss: 0.3864, Accuracy: 0.8094
Epoch 323, Loss: 0.3869, Accuracy: 0.8110
Epoch 324, Loss: 0.3866, Accuracy: 0.8103
Epoch 325, Loss: 0.3863, Accuracy: 0.8107
Epoch 326, Loss: 0.3868, Accuracy: 0.8102
Epoch 327, Loss: 0.3904, Accuracy: 0.8106
Epoch 328, Loss: 0.3868, Accuracy: 0.8101
Epoch 329, Loss: 0.3865, Accuracy: 0.8106
Epoch 330, Loss: 0.3868, Accuracy: 0.8106
Epoch 331, Loss: 0.3866, Accuracy: 0.8109
Epoch 332, Loss: 0.3868, Accuracy: 0.8103
Epoch 333, Loss: 0.3862, Accuracy: 0.8104
Epoch 334, Loss: 0.3866, Accuracy: 0.8108
Epoch 335, Loss: 0.3865, Accuracy: 0.8110
Epoch 336, Loss: 0.3863, Accuracy: 0.8113
Epoch 337, Loss: 0.3866, Accuracy: 0.8101
Epoch 338, Loss: 0.3871, Accuracy: 0.8104
Epoch 339, Loss: 0.3865, Accuracy: 0.8097
Epoch 340, Loss: 0.3871, Accuracy: 0.8112
Epoch 341, Loss: 0.3863, Accuracy: 0.8109
Epoch 342, Loss: 0.3829, Accuracy: 0.8099
Epoch 343, Loss: 0.3866, Accuracy: 0.8105
Epoch 344, Loss: 0.3868, Accuracy: 0.8106
Epoch 345, Loss: 0.3864, Accuracy: 0.8114
Epoch 346, Loss: 0.3872, Accuracy: 0.8106
Epoch 347, Loss: 0.3862, Accuracy: 0.8102
Epoch 348, Loss: 0.3866, Accuracy: 0.8111
Epoch 349, Loss: 0.3865, Accuracy: 0.8111
Epoch 350, Loss: 0.3865, Accuracy: 0.8118
Epoch 351, Loss: 0.3869, Accuracy: 0.8108
Epoch 352, Loss: 0.3864, Accuracy: 0.8103
Epoch 353, Loss: 0.3862, Accuracy: 0.8116
Epoch 354, Loss: 0.3866, Accuracy: 0.8106
Epoch 355, Loss: 0.3869, Accuracy: 0.8109
Epoch 356, Loss: 0.3869, Accuracy: 0.8113
Epoch 357, Loss: 0.3864, Accuracy: 0.8110
Epoch 358, Loss: 0.3864, Accuracy: 0.8102
Epoch 359, Loss: 0.3864, Accuracy: 0.8113
Epoch 360, Loss: 0.3860, Accuracy: 0.8115
Epoch 361, Loss: 0.3827, Accuracy: 0.8106
Epoch 362, Loss: 0.3864, Accuracy: 0.8106
Epoch 363, Loss: 0.3867, Accuracy: 0.8100
Epoch 364, Loss: 0.3863, Accuracy: 0.8108
Epoch 365, Loss: 0.3863, Accuracy: 0.8111
Epoch 366, Loss: 0.3859, Accuracy: 0.8112
Epoch 367, Loss: 0.3866, Accuracy: 0.8108
Epoch 368, Loss: 0.3823, Accuracy: 0.8115
Epoch 369, Loss: 0.3913, Accuracy: 0.8122
Epoch 370, Loss: 0.3868, Accuracy: 0.8115
Epoch 371, Loss: 0.3869, Accuracy: 0.8111
Epoch 372, Loss: 0.3824, Accuracy: 0.8117
Epoch 373, Loss: 0.3865, Accuracy: 0.8105
Epoch 374, Loss: 0.3866, Accuracy: 0.8115
Epoch 375, Loss: 0.3865, Accuracy: 0.8104
Epoch 376, Loss: 0.3863, Accuracy: 0.8113
Epoch 377, Loss: 0.3828, Accuracy: 0.8112
Epoch 378, Loss: 0.3866, Accuracy: 0.8103
Epoch 379, Loss: 0.3863, Accuracy: 0.8111
Epoch 380, Loss: 0.3864, Accuracy: 0.8107
Epoch 381, Loss: 0.3862, Accuracy: 0.8111
Epoch 382, Loss: 0.3862, Accuracy: 0.8108
Epoch 383, Loss: 0.3860, Accuracy: 0.8102
Epoch 384, Loss: 0.3873, Accuracy: 0.8110
Epoch 385, Loss: 0.3864, Accuracy: 0.8109
Epoch 386, Loss: 0.3902, Accuracy: 0.8109
Epoch 387, Loss: 0.3827, Accuracy: 0.8102
Epoch 388, Loss: 0.3864, Accuracy: 0.8107
Epoch 389, Loss: 0.3866, Accuracy: 0.8110
Epoch 390, Loss: 0.3862, Accuracy: 0.8117
Epoch 391, Loss: 0.3862, Accuracy: 0.8111
Epoch 392, Loss: 0.3864, Accuracy: 0.8118
Epoch 393, Loss: 0.3858, Accuracy: 0.8104
Epoch 394, Loss: 0.3858, Accuracy: 0.8111
Epoch 395, Loss: 0.3865, Accuracy: 0.8106
Epoch 396, Loss: 0.3863, Accuracy: 0.8104
Epoch 397, Loss: 0.3861, Accuracy: 0.8116
Epoch 398, Loss: 0.3866, Accuracy: 0.8106
Epoch 399, Loss: 0.3861, Accuracy: 0.8104
Epoch 400, Loss: 0.3860, Accuracy: 0.8106
Epoch 401, Loss: 0.3862, Accuracy: 0.8095
Epoch 402, Loss: 0.3863, Accuracy: 0.8114
Epoch 403, Loss: 0.3863, Accuracy: 0.8101
Epoch 404, Loss: 0.3863, Accuracy: 0.8105
Epoch 405, Loss: 0.3866, Accuracy: 0.8118
Epoch 406, Loss: 0.3861, Accuracy: 0.8107
Epoch 407, Loss: 0.3863, Accuracy: 0.8106
Epoch 408, Loss: 0.3862, Accuracy: 0.8106
Epoch 409, Loss: 0.3866, Accuracy: 0.8100
Epoch 410, Loss: 0.3866, Accuracy: 0.8101
Epoch 411, Loss: 0.3865, Accuracy: 0.8119
Epoch 412, Loss: 0.3860, Accuracy: 0.8119
Epoch 413, Loss: 0.3864, Accuracy: 0.8103
Epoch 414, Loss: 0.3865, Accuracy: 0.8106
Epoch 415, Loss: 0.3861, Accuracy: 0.8103
Epoch 416, Loss: 0.3862, Accuracy: 0.8115
Epoch 417, Loss: 0.3863, Accuracy: 0.8110
Epoch 418, Loss: 0.3859, Accuracy: 0.8114
Epoch 419, Loss: 0.3861, Accuracy: 0.8114
Epoch 420, Loss: 0.3863, Accuracy: 0.8103
Epoch 421, Loss: 0.3860, Accuracy: 0.8106
Epoch 422, Loss: 0.3864, Accuracy: 0.8117
Epoch 423, Loss: 0.3866, Accuracy: 0.8109
Epoch 424, Loss: 0.3867, Accuracy: 0.8102
Epoch 425, Loss: 0.3862, Accuracy: 0.8111
Epoch 426, Loss: 0.3861, Accuracy: 0.8114
Epoch 427, Loss: 0.3866, Accuracy: 0.8112
Epoch 428, Loss: 0.3822, Accuracy: 0.8114
Epoch 429, Loss: 0.3865, Accuracy: 0.8108
Epoch 430, Loss: 0.3864, Accuracy: 0.8113
Epoch 431, Loss: 0.3863, Accuracy: 0.8109
Epoch 432, Loss: 0.3866, Accuracy: 0.8104
Epoch 433, Loss: 0.3866, Accuracy: 0.8105
